"Nom";"Entité";"Lieu";"Statut";"Fabricant";"Type";"Modèle";"Réseau";"Date de création";"Informations financières et administratives - Durée de garantie";"Numéro de série";"Numéro d'inventaire";"Informations financières et administratives - Date de livraison";"Composants - Adresse MAC";
"0504-310-PROF";"Support Informatique en Lycée > LYCEES > 0504 - ARISTIDE BRIAND";"Bât. externat > Niv. 1 > 310";"Actif";"LENOVO";"Poste de travail - Slim";"11JAS1J200";"Pédagogique";"04-01-2023 15:54";"60 mois";"PC2EPA7C";"UC2201705";"24-11-2022";"88:ae:dd:18:95:6e";
"0504-311-PROF";"Support Informatique en Lycée > LYCEES > 0504 - ARISTIDE BRIAND";"Bât. externat > Niv. 1 > 311";"Actif";"LENOVO";"Poste de travail - Slim";"11JAS1J200";"Pédagogique";"04-01-2023 15:54";"60 mois";"PC2EPA7A";"UC2201689";"24-11-2022";"88:ae:dd:16:ed:6b";
"0504-313-PROF";"Support Informatique en Lycée > LYCEES > 0504 - ARISTIDE BRIAND";"Bât. externat > Niv. 1 > 313";"Actif";"LENOVO";"Poste de travail - Slim";"11JAS1J200";"Pédagogique";"04-01-2023 16:27";"60 mois";"PC2EJYX0";"UC2204271";"24-11-2022";"88:ae:dd:18:c1:1e";
"0504-322-PROF";"Support Informatique en Lycée > LYCEES > 0504 - ARISTIDE BRIAND";"Bât. externat > Niv. 2 > 322";"Actif";"LENOVO";"Poste de travail - Slim";"11JAS1J200";"Pédagogique";"04-01-2023 16:18";"60 mois";"PC2EPADK";"UC2204332";"24-11-2022";"88:ae:dd:18:be:5a";
"0504-323-01";"Support Informatique en Lycée > LYCEES > 0504 - ARISTIDE BRIAND";"Bât. externat > Niv. 2 > 323";"Actif";"LENOVO";"Poste de travail - Slim";"11AAS04700 ThinkCentre M75s";"Pédagogique";"22-09-2020 10:57";"0 mois";"PC1JHE1H";"uc2003401";"17-09-2020";"2c:f0:5d:15:8a:2b";
"0504-323-02";"Support Informatique en Lycée > LYCEES > 0504 - ARISTIDE BRIAND";"Bât. externat > Niv. 2 > 323";"Actif";"LENOVO";"Poste de travail - Slim";"11AAS04700 ThinkCentre M75s";"Pédagogique";"22-09-2020 10:57";"0 mois";"PC1JHDRZ";"uc2003386";"17-09-2020";"2c:f0:5d:15:93:99";
"0504-323-03";"Support Informatique en Lycée > LYCEES > 0504 - ARISTIDE BRIAND";"Bât. externat > Niv. 2 > 323";"Actif";"LENOVO";"Poste de travail - Slim";"11AAS04700 ThinkCentre M75s";"Pédagogique";"22-09-2020 10:57";"0 mois";"PC1JHE62";"uc2003335";"17-09-2020";"2c:f0:5d:15:94:bb";
"0504-323-04";"Support Informatique en Lycée > LYCEES > 0504 - ARISTIDE BRIAND";"Bât. externat > Niv. 2 > 323";"Actif";"LENOVO";"Poste de travail - Slim";"11AAS04700 ThinkCentre M75s";"Pédagogique";"22-09-2020 10:57";"0 mois";"PC1JHE1D";"uc2003393";"17-09-2020";"2c:f0:5d:15:8a:62";
"0504-323-05";"Support Informatique en Lycée > LYCEES > 0504 - ARISTIDE BRIAND";"Bât. externat > Niv. 2 > 323";"Actif";"LENOVO";"Poste de travail - Slim";"11AAS04700 ThinkCentre M75s";"Pédagogique";"22-09-2020 10:57";"0 mois";"PC1JH1X9";"uc2003333";"17-09-2020";"2c:f0:5d:15:96:76";
"0504-323-06";"Support Informatique en Lycée > LYCEES > 0504 - ARISTIDE BRIAND";"Bât. externat > Niv. 2 > 323";"Actif";"LENOVO";"Poste de travail - Slim";"11AAS04700 ThinkCentre M75s";"Pédagogique";"22-09-2020 11:02";"0 mois";"PC1JHD90";"uc2003330";"17-09-2020";"2c:f0:5d:15:94:31";
"0504-323-07";"Support Informatique en Lycée > LYCEES > 0504 - ARISTIDE BRIAND";"Bât. externat > Niv. 2 > 323";"Actif";"LENOVO";"Poste de travail - Slim";"11AAS04700 ThinkCentre M75s";"Pédagogique";"22-09-2020 11:00";"0 mois";"PC1JHE1B";"uc2003394";"17-09-2020";"2c:f0:5d:15:8a:71";
"0504-323-08";"Support Informatique en Lycée > LYCEES > 0504 - ARISTIDE BRIAND";"Bât. externat > Niv. 2 > 323";"Actif";"LENOVO";"Poste de travail - Slim";"11AAS04700 ThinkCentre M75s";"Pédagogique";"22-09-2020 11:00";"0 mois";"PC1JHDXZ";"uc2003328";"17-09-2020";"2c:f0:5d:15:8a:36";
"0504-323-09";"Support Informatique en Lycée > LYCEES > 0504 - ARISTIDE BRIAND";"Bât. externat > Niv. 2 > 323";"Actif";"LENOVO";"Poste de travail - Slim";"11AAS04700 ThinkCentre M75s";"Pédagogique";"22-09-2020 11:01";"0 mois";"PC1JHDYC";"uc2003331";"17-09-2020";"2c:f0:5d:15:8a:8f";
"0504-323-10";"Support Informatique en Lycée > LYCEES > 0504 - ARISTIDE BRIAND";"Bât. externat > Niv. 2 > 323";"Actif";"LENOVO";"Poste de travail - Slim";"11AAS04700 ThinkCentre M75s";"Pédagogique";"24-09-2020 12:17";"0 mois";"PC1JHDY6";"uc2003332";"17-09-2020";"2c:f0:5d:15:8a:f4";
"0504-323-11";"Support Informatique en Lycée > LYCEES > 0504 - ARISTIDE BRIAND";"Bât. externat > Niv. 2 > 323";"Actif";"LENOVO";"Poste de travail - Slim";"11AAS04700 ThinkCentre M75s";"Pédagogique";"22-09-2020 11:03";"0 mois";"PC1JHEQB";"uc2003336";"17-09-2020";"2c:f0:5d:15:8c:37";
"0504-323-12";"Support Informatique en Lycée > LYCEES > 0504 - ARISTIDE BRIAND";"Bât. externat > Niv. 2 > 323";"Actif";"LENOVO";"Poste de travail - Slim";"11AAS04700 ThinkCentre M75s";"Pédagogique";"22-09-2020 11:03";"0 mois";"PC1JHE1E";"uc2003396";"17-09-2020";"2c:f0:5d:15:8a:64";
"0504-323-13";"Support Informatique en Lycée > LYCEES > 0504 - ARISTIDE BRIAND";"Bât. externat > Niv. 2 > 323";"Actif";"LENOVO";"Poste de travail - Slim";"11AAS04700 ThinkCentre M75s";"Pédagogique";"22-09-2020 11:03";"0 mois";"PC1JH3RH";"uc2003342";"17-09-2020";"2c:f0:5d:15:8f:52";
"0504-323-14";"Support Informatique en Lycée > LYCEES > 0504 - ARISTIDE BRIAND";"Bât. externat > Niv. 2 > 323";"Actif";"LENOVO";"Poste de travail - Slim";"11AAS04700 ThinkCentre M75s";"Pédagogique";"22-09-2020 11:03";"0 mois";"PC1JH3P3";"uc2003382";"17-09-2020";"2c:f0:5d:15:95:6c";
"0504-323-15";"Support Informatique en Lycée > LYCEES > 0504 - ARISTIDE BRIAND";"Bât. externat > Niv. 2 > 323";"Actif";"LENOVO";"Poste de travail - Slim";"11AAS04700 ThinkCentre M75s";"Pédagogique";"22-09-2020 11:04";"0 mois";"PC1JH1W7";"uc2003340";"17-09-2020";"2c:f0:5d:15:96:72";
"0504-323-16";"Support Informatique en Lycée > LYCEES > 0504 - ARISTIDE BRIAND";"Bât. externat > Niv. 2 > 323";"Actif";"LENOVO";"Poste de travail - Slim";"11AAS04700 ThinkCentre M75s";"Pédagogique";"22-09-2020 11:06";"0 mois";"PC1JHE1Q";"uc2003395";"17-09-2020";"2c:f0:5d:15:8a:66";
"0504-323-17";"Support Informatique en Lycée > LYCEES > 0504 - ARISTIDE BRIAND";"Bât. externat > Niv. 2 > 323";"Actif";"LENOVO";"Poste de travail - Slim";"11AAS04700 ThinkCentre M75s";"Pédagogique";"22-09-2020 11:06";"0 mois";"PC1JH3PY";"uc2003339";"17-09-2020";"2c:f0:5d:15:8f:5e";
"0504-323-18";"Support Informatique en Lycée > LYCEES > 0504 - ARISTIDE BRIAND";"Bât. externat > Niv. 2 > 323";"Actif";"LENOVO";"Poste de travail - Slim";"11AAS04700 ThinkCentre M75s";"Pédagogique";"22-03-2023 13:32";"0 mois";"PC1JH34B";"UC2003323";"17-09-2020";"2c:f0:5d:18:ee:8d";
"0504-323-PROF";"Support Informatique en Lycée > LYCEES > 0504 - ARISTIDE BRIAND";"Bât. externat > Niv. 2 > 323";"Actif";"LENOVO";"Poste de travail - Slim";"11AAS04700 ThinkCentre M75s";"Pédagogique";"02-12-2021 08:26";"0 mois";"PC1JHE33";"uc2003329";"17-09-2020";"2c:f0:5d:15:8b:7b";
"0504-324-PROF";"Support Informatique en Lycée > LYCEES > 0504 - ARISTIDE BRIAND";"Bât. externat > Niv. 3 > 337";"Actif";"LENOVO";"Poste de travail - Slim";"11JAS1J200";"Pédagogique";"04-01-2023 16:19";"60 mois";"PC2EJYZC";"UC2203418";"24-11-2022";"88:ae:dd:18:52:50";
"0504-325-PROF";"Support Informatique en Lycée > LYCEES > 0504 - ARISTIDE BRIAND";"Bât. externat > Niv. 3 > 337";"Actif";"LENOVO";"Poste de travail - Slim";"11JAS1J200";"Pédagogique";"04-01-2023 15:54";"60 mois";"PC2EJYWZ";"UC2204279";"24-11-2022";"88:ae:dd:18:45:ab";
"0504-330-01";"Support Informatique en Lycée > LYCEES > 0504 - ARISTIDE BRIAND";"Bât. externat > Niv. 3 > 330";"Actif";"LENOVO";"Poste de travail - Slim";"11JAS1J200";"Pédagogique";"15-12-2022 15:49";"60 mois";"PC2EJYY3";"UC2204227";"24-11-2022";"88:ae:dd:18:be:75";
"0504-330-02";"Support Informatique en Lycée > LYCEES > 0504 - ARISTIDE BRIAND";"Bât. externat > Niv. 3 > 330";"Actif";"LENOVO";"Poste de travail - Slim";"11JAS1J200";"Pédagogique";"15-12-2022 15:52";"60 mois";"PC2EJYXB";"UC2203414";"24-11-2022";"88:ae:dd:16:ea:a6";
